update,samples,time,sps,policy_prog,bot_prog,snap_prog,policy_win,bot_win,snap_win,early_finish,length,avg_group,alliances,alliance_dur,alliances_long,group_banks,remerge_fast,merges,leaves,spills,banks,ent_move,ent_join,ent_leave,ent_intent,p_join_solo,p_join_grouped,p_leave_grouped,p_intent_change,ev,vloss,ploss,kl,epochs_run
-6,23032,3,8580,0.727,nan,nan,1.0,nan,nan,0.0,240.0,1.94,43.0,15.7,4.0,65.0,0.0,24.0,22.0,11.0,84.0,0.0,0.0,0.0,0.0,0.925,0.775,0.168,0.972,0.252,0.2052,0.0,0.0,3
-5,45959,5,9785,0.628,0.672,nan,0.0,1.5,nan,1.0,175.8,1.46,15.0,16.3,3.0,5.0,0.0,11.0,11.0,2.0,30.0,0.0,0.0,0.0,0.0,0.922,0.757,0.184,0.969,0.506,0.1073,0.0,0.0,3
-4,68871,7,9454,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.924,0.764,0.161,0.968,0.499,0.0997,0.0,0.0,3
-3,91783,10,9361,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.925,0.685,0.17,0.971,0.516,0.1149,0.0,0.0,3
-2,114695,12,9415,0.733,0.543,0.667,2.0,0.0,0.0,1.0,221.6,1.3,23.0,8.5,6.0,0.0,0.0,19.0,17.0,7.0,41.0,0.0,0.0,0.0,0.0,0.925,0.692,0.187,0.968,0.303,0.1369,0.0,0.0,3
-1,137503,15,9296,0.789,0.7,0.899,0.82,0.55,2.0,1.0,230.4,1.4,32.7,8.9,5.7,7.7,0.0,25.6,24.1,9.9,46.1,0.0,0.0,0.0,0.0,0.928,0.729,0.171,0.969,0.171,0.1843,0.0,0.0,3
1,161345,17,9238,0.667,0.611,0.661,1.13,0.66,1.12,0.0,240.0,1.31,26.8,9.1,5.5,12.9,0.0,22.0,20.8,7.3,46.9,0.357,0.266,0.044,0.478,0.928,0.8,0.134,0.972,-0.008,0.8022,0.0088,0.0213,1
2,185537,23,4049,,,,,,,,,,,,,,,,,,,0.304,0.293,0.031,0.544,0.924,0.922,0.111,0.966,0.761,0.0234,0.0048,0.0228,3
3,209729,29,4271,,,,,,,,,,,,,,,,,,,0.369,0.297,0.033,0.555,0.915,0.892,0.155,0.964,0.467,0.0822,0.0012,0.0138,3
4,233921,35,4373,,,,,,,,,,,,,,,,,,,0.371,0.312,0.042,0.55,0.909,0.89,0.13,0.964,0.696,0.0358,0.0016,0.0109,3
5,258113,40,4478,,,,,,,,,,,,,,,,,,,0.372,0.347,0.055,0.534,0.902,0.898,0.166,0.966,0.707,0.0383,-0.004,0.0159,3
6,282305,46,4213,,,,,,,,,,,,,,,,,,,0.392,0.361,0.051,0.57,0.888,0.876,0.161,0.964,0.734,0.0418,-0.0036,0.0143,3
7,306497,51,4330,,,,,,,,,,,,,,,,,,,0.401,0.396,0.054,0.614,0.872,0.828,0.155,0.956,0.794,0.0372,-0.003,0.0156,3
