update,samples,margin_bail,se_bail,margin_solo,se_solo,self_prog,bail_baseline,alliance_dur,alliances_long,spills,ram,clash,bump,p_join_solo,p_leave_grouped,warnings
50,973047,-0.02626629668864977,0.03199230968647883,-0.005385126088675474,0.025863335939746372,0.6547120041907615,0.6362404927956072,4.045266911472266,1.25,7.4375,1,1,4,0.5755999999999999,0.1773,
100,1855952,-0.04035359613326828,0.02970478693210349,-0.003487321124967413,0.02488228330153041,0.6384491643243052,0.6362404927956072,3.8526458725194024,1.3125,6.3125,2,0,4,0.5246000000000001,0.2646,
150,2737183,-0.060922590180811476,0.032970088170925324,-0.0006995612838121001,0.030091216279356972,0.6540681713129599,0.6362404927956072,5.044236311913511,3.25,7.1875,1,1,9,0.5322000000000001,0.2081,"9/11 spills are light bumps: movement tax, not ramming"
200,3577616,-0.036570955916897074,0.028854407347085876,-0.0032045722746608662,0.023166987784571123,0.6432898814976186,0.6362404927956072,3.9521646888130357,1.8125,6.25,3,1,5,0.5730000000000001,0.13399999999999995,loses to bail by 0.04; alliances last 4.0s
250,4406768,-0.0718015769582937,0.02256986459801814,-0.01853178515049614,0.02731423389084413,0.6372921017935953,0.6362404927956072,4.854064102192039,1.9375,7.125,0,0,2,0.5505000000000001,0.1961,loses to bail by 0.07; alliances last 4.9s
300,5246919,-0.029489087432999606,0.031499352123342324,-0.0007969056341412539,0.025291513404482612,0.6383179096225864,0.6362404927956072,4.560671478452017,2.4375,7.0625,2,2,5,0.5336,0.22929999999999998,alliances last 4.6s
350,6089966,-0.035339078523767276,0.026895710667483752,0.01380385618586033,0.028221883967965173,0.6323955882667719,0.6362404927956072,3.975215039025439,1.4375,7.5,0,0,4,0.5156999999999999,0.19850000000000004,loses to bail by 0.04; alliances last 4.0s
400,6963372,-0.036142883572654605,0.03695248011643289,-0.00834424668292133,0.02393606047297033,0.63018815262371,0.6362404927956072,3.1704836623152293,0.875,7.5,0,1,8,0.5871000000000001,0.3413,loses to bail by 0.04; alliances last 3.2s; alliance duration fell from best 5.0s to 3.2s
450,7816716,-0.0587772903003273,0.026089441402195216,-0.011212322885351567,0.025851121283721436,0.6289225603046034,0.6362404927956072,4.467756327366601,2.0625,7.1875,0,1,7,0.5324000000000001,0.3093,loses to bail by 0.06; alliances last 4.5s
500,8669789,-0.05237828585598214,0.02541147777316825,-0.011443214551877912,0.026847179474826177,0.6247434198504939,0.6362404927956072,2.880212445636951,0.5625,8.4375,1,1,5,0.5094000000000001,0.4765,loses to bail by 0.05; alliances last 2.9s; alliance duration fell from best 5.0s to 2.9s
550,9573453,-0.03275697335813421,0.03036223068962289,-0.021227088606247224,0.03101434213991542,0.6323365878180133,0.6362404927956072,3.412907773133621,1.3125,6.0,0,2,6,0.5791,0.3023,loses to bail by 0.03; alliances last 3.4s; alliance duration fell from best 5.0s to 3.4s
