kind,seats,n_solo,n_bail,n_loyal,n_kidnap,n_rammer,finished_early,length,avg_group,merges,leaves,spills,banks,group_banks,alliances,alliance_dur,alliances_long,solo_prog,solo_se,solo_win,bail_prog,bail_se,bail_win,loyal_prog,loyal_se,loyal_win,kidnap_prog,kidnap_se,kidnap_win,rammer_prog,rammer_se,rammer_win
comp,"loyal,loyal,loyal,loyal,loyal,loyal",0,0,6,0,0,0.5625,218.51249999999015,3.1906222743823047,4.8125,0.0,0.0,119.1875,119.125,13.3125,118.64402777777156,12.25,,,,,,,0.765778525270061,0.021312988234815197,0.16666666666666666,,,,,,
comp,"bail,loyal,loyal,loyal,loyal,loyal",0,1,5,0,0,0.5,229.9999999999895,2.791532560235752,6.6875,2.875,0.0625,133.8125,129.5625,16.125,95.88106888436148,10.8125,,,,0.6283166001157399,0.05353432284963671,0.1875,0.7407438755787035,0.023356658544535346,0.1625,,,,,,
comp,"bail,bail,loyal,loyal,loyal,loyal",0,2,4,0,0,0.5625,220.49374999999003,2.2354070971146522,5.1875,2.0,0.1875,86.25,80.4375,9.0625,108.20716889880407,5.5625,,,,0.45241963306568267,0.018421601547890257,0.0625,0.5931554234483505,0.030659351451638978,0.21875,,,,,,
comp,"bail,bail,bail,loyal,loyal,loyal",0,3,3,0,0,0.125,234.58124999998927,1.9054603787601416,7.1875,4.5,0.5,77.4375,65.5625,11.25,67.98736298326808,5.875,,,,0.5955752835909522,0.029212631096752636,0.1875,0.49625796579749065,0.05307051328422076,0.14583333333333334,,,,,,
comp,"bail,bail,bail,bail,loyal,loyal",0,4,2,0,0,0.125,236.5770833333225,1.6897334206121026,6.9375,4.4375,0.375,66.5,50.6875,9.125,67.15977854899401,4.8125,,,,0.5524438232569648,0.024822480245354994,0.21875,0.2145982294752028,0.0815177808404819,0.0625,,,,,,
comp,"bail,bail,bail,bail,bail,loyal",0,5,1,0,0,0.0625,238.31874999998905,1.515923526422763,9.75,7.9375,0.6875,56.0,32.0625,12.1875,34.8674488069783,5.25,,,,0.5729761588079355,0.018904092789419517,0.2,0.02640485156250001,0.01959410399556941,0.0,,,,,,
comp,"bail,bail,bail,bail,bail,bail",0,6,0,0,0,0.0625,239.51874999998898,1.3592975174507536,13.5,11.5625,1.625,45.3125,11.5,16.625,17.631602204184738,8.1875,,,,0.6143865459030032,0.021717588689862025,0.16666666666666666,,,,,,,,,
comp,"solo,loyal,loyal,loyal,loyal,loyal",1,0,5,0,0,0.4375,220.44583333332338,2.7129833269215937,3.8125,0.0,0.5,108.125,105.3125,8.875,134.38041666665953,8.875,0.5560173611111052,0.03362778157094985,0.125,,,,0.7350184953703699,0.01679722170127622,0.175,,,,,,
comp,"solo,bail,loyal,loyal,loyal,loyal",1,1,4,0,0,0.5,223.13958333332323,2.2654604600002255,4.375,1.25,0.6875,85.125,78.3125,8.9375,107.18536571067271,6.0625,0.5854965277777721,0.02997000835744392,0.0625,0.5889667818986568,0.061851505971526714,0.125,0.7065629820768782,0.026162781232124715,0.203125,,,,,,
comp,"solo,bail,bail,loyal,loyal,loyal",1,2,3,0,0,0.1875,233.44374999998934,1.9343044727335155,4.8125,2.5,0.9375,89.375,77.1875,8.1875,98.60996528933529,5.75,0.5950243055555483,0.027430990839842923,0.0625,0.6255909788140188,0.04050526826510905,0.125,0.6808751222029313,0.02757325590325259,0.22916666666666666,,,,,,
comp,"solo,bail,bail,bail,loyal,loyal",1,3,2,0,0,0.1875,238.2520833333224,1.5718869828574586,5.875,4.0,1.25,46.9375,30.625,7.5625,71.90384971509606,4.375,0.6003090277777695,0.03072655768114801,0.25,0.5924403577664678,0.026236678680843558,0.16666666666666666,0.428699486038773,0.09967254851686816,0.125,,,,,,
