n_solo,n_bail,n_loyal,solo_prog,solo_se,bail_prog,bail_se,loyal_prog,loyal_se,seedA_solo,seedA_bail,seedA_loyal,seedB_solo,seedB_bail,seedB_loyal
6,0,0,0.645,0.009,,,,,0.645,,,0.644,,
5,1,0,0.638,0.011,0.647,0.023,,,0.631,0.669,,0.644,0.625,
5,0,1,0.645,0.011,,,0.608,0.027,0.638,,0.634,0.652,,0.582
4,2,0,0.637,0.014,0.675,0.019,,,0.635,0.660,,0.639,0.690,
4,1,1,0.648,0.012,0.451,0.033,0.068,0.022,0.650,0.458,0.111,0.646,0.445,0.024
4,0,2,0.605,0.016,,,0.870,0.014,0.597,,0.864,0.612,,0.876
3,3,0,0.630,0.011,0.667,0.017,,,0.623,0.662,,0.638,0.672,
3,2,1,0.645,0.012,0.560,0.019,0.059,0.022,0.644,0.567,0.077,0.645,0.553,0.040
3,1,2,0.646,0.012,0.676,0.029,0.648,0.034,0.650,0.690,0.624,0.643,0.662,0.672
3,0,3,0.609,0.017,,,0.782,0.023,0.593,,0.765,0.624,,0.800
2,4,0,0.639,0.016,0.667,0.015,,,0.650,0.650,,0.629,0.684,
2,3,1,0.642,0.015,0.594,0.017,0.054,0.022,0.651,0.582,0.077,0.633,0.606,0.031
2,2,2,0.632,0.016,0.670,0.018,0.631,0.043,0.648,0.641,0.583,0.616,0.700,0.679
2,1,3,0.614,0.017,0.562,0.048,0.688,0.023,0.639,0.553,0.712,0.589,0.570,0.663
2,0,4,0.641,0.016,,,0.764,0.019,0.655,,0.748,0.627,,0.780
1,5,0,0.617,0.023,0.659,0.013,,,0.602,0.643,,0.631,0.676,
1,4,1,0.633,0.024,0.608,0.014,0.031,0.015,0.623,0.598,0.031,0.642,0.617,0.031
1,3,2,0.618,0.024,0.607,0.020,0.444,0.070,0.600,0.592,0.429,0.636,0.622,0.460
1,2,3,0.598,0.023,0.604,0.025,0.671,0.021,0.595,0.626,0.681,0.601,0.582,0.661
1,1,4,0.597,0.023,0.549,0.044,0.705,0.021,0.585,0.589,0.707,0.609,0.509,0.703
1,0,5,0.589,0.026,,,0.776,0.013,0.556,,0.735,0.623,,0.817
0,6,0,,,0.643,0.013,,,,0.614,,,0.672,
0,5,1,,,0.589,0.011,0.021,0.013,,0.573,0.026,,0.605,0.016
0,4,2,,,0.561,0.017,0.210,0.056,,0.552,0.215,,0.570,0.205
0,3,3,,,0.592,0.017,0.526,0.041,,0.596,0.496,,0.588,0.556
0,2,4,,,0.490,0.019,0.594,0.020,,0.452,0.593,,0.527,0.596
0,1,5,,,0.583,0.039,0.728,0.014,,0.628,0.741,,0.538,0.715
0,0,6,,,,,0.748,0.017,,,0.766,,,0.731
