kind,seats,n_solo,n_bail,n_loyal,n_kidnap,n_rammer,finished_early,length,avg_group,merges,leaves,spills,banks,group_banks,alliances,alliance_dur,alliances_long,solo_prog,solo_se,solo_win,bail_prog,bail_se,bail_win,loyal_prog,loyal_se,loyal_win,kidnap_prog,kidnap_se,kidnap_win,rammer_prog,rammer_se,rammer_win
comp,"loyal,loyal,loyal,loyal,loyal,loyal",0,0,6,0,0,0.5625,215.160416666657,3.2782521839968766,4.75,0.0,0.0,110.0,109.9375,12.75,123.79874999999345,12.25,,,,,,,0.7307758632330246,0.025629246474680234,0.16666666666666666,,,,,,
comp,"bail,loyal,loyal,loyal,loyal,loyal",0,1,5,0,0,0.5,222.23749999998995,2.7056305863448618,5.1875,1.4375,0.0625,106.125,103.0625,11.125,120.28642247677949,9.375,,,,0.5382723582175923,0.05574544761431129,0.0625,0.7148860537808633,0.0168941395916492,0.1875,,,,,,
comp,"bail,bail,loyal,loyal,loyal,loyal",0,2,4,0,0,0.3125,233.38333333332264,2.2357803676235353,5.625,2.6875,0.0625,82.4375,76.1875,11.375,91.64412898783752,6.125,,,,0.5267122616980817,0.03338046536274837,0.15625,0.5955662300631404,0.025840051932916927,0.171875,,,,,,
comp,"bail,bail,bail,loyal,loyal,loyal",0,3,3,0,0,0.25,232.16041666665603,1.9356461926820194,7.5625,4.9375,0.25,77.0625,65.0625,12.75,61.18262242452684,6.0625,,,,0.5877764009372394,0.0181238883769442,0.25,0.5561543962034999,0.06201194823164786,0.08333333333333333,,,,,,
comp,"bail,bail,bail,bail,loyal,loyal",0,4,2,0,0,0.0625,239.28333333332233,1.6980189650772908,8.5625,6.4375,0.375,62.0,45.125,11.5625,52.12009464141673,5.625,,,,0.5701802695620442,0.02358145801270755,0.25,0.2045130315502022,0.07718995985611748,0.0,,,,,,
comp,"bail,bail,bail,bail,bail,loyal",0,5,1,0,0,0.0625,239.7291666666556,1.5021514083262597,10.8125,8.75,0.9375,57.375,32.6875,12.8125,31.484040915805256,5.3125,,,,0.6053717672500596,0.011208148607136835,0.2,0.015625,0.015625,0.0,,,,,,
comp,"bail,bail,bail,bail,bail,bail",0,6,0,0,0,0.0,239.99999999998894,1.3226388888888856,17.375,15.8125,2.25,45.875,10.0,20.75,11.96563060394751,8.8125,,,,0.6720719986765546,0.01415512127068289,0.16666666666666666,,,,,,,,,
comp,"solo,loyal,loyal,loyal,loyal,loyal",1,0,5,0,0,0.625,224.84583333332313,2.67782454162343,3.9375,0.0,0.375,99.75,96.875,9.625,120.85635416666025,8.875,0.6227118055555504,0.03972865598594273,0.0,,,,0.816522129629627,0.018682176401005803,0.2,,,,,,
comp,"solo,bail,loyal,loyal,loyal,loyal",1,1,4,0,0,0.5625,228.25208333332296,2.2014438429133056,4.25,1.375,0.25,68.125,62.4375,8.75,133.63984316377386,5.625,0.6088749999999942,0.03523004553700065,0.0625,0.5092238149547208,0.06286702248436327,0.0625,0.7031431754251243,0.03219503373877866,0.21875,,,,,,
comp,"solo,bail,bail,loyal,loyal,loyal",1,2,3,0,0,0.4375,226.07499999998973,1.8466313617224381,4.6875,2.3125,1.0,54.875,44.9375,7.375,84.82746828402648,5.0625,0.6010277777777728,0.036924168412612784,0.0,0.5823619106782885,0.027732591877098135,0.125,0.6612328790509255,0.031548418841731055,0.25,,,,,,
comp,"solo,bail,bail,bail,loyal,loyal",1,3,2,0,0,0.25,235.6312499999892,1.5665125750257625,7.9375,5.875,1.5,58.125,41.6875,10.3125,47.64843356092192,4.625,0.6362291666666616,0.037783081352596885,0.1875,0.622350767926936,0.030777317717276886,0.16666666666666666,0.45981033605369237,0.09755574006523339,0.15625,,,,,,
comp,"solo,bail,bail,bail,bail,loyal",1,4,1,0,0,0.125,238.87083333332237,1.4579455018461016,8.25,6.6875,0.75,67.0625,45.1875,9.9375,39.957995684868656,4.3125,0.6424166666666606,0.03564926200761094,0.25,0.6170149748207958,0.016116289449666504,0.1875,0.03137877604166667,0.021435991178798297,0.0,,,,,,
comp,"solo,bail,bail,bail,bail,bail",1,5,0,0,0,0.0,239.99999999998894,1.2131597222222195,12.0625,10.875,1.875,40.8125,7.1875,14.0625,11.54049835705417,5.625,0.6309756944444386,0.034417952763743875,0.125,0.6758082046832682,0.017356104875862515,0.175,,,,,,,,,
comp,"solo,solo,loyal,loyal,loyal,loyal",2,0,4,0,0,0.4375,231.35833333332278,2.331601490241464,3.0,0.0,0.625,76.25,69.875,6.0,154.30694444443623,6.0,0.6270381944444376,0.024829420738856137,0.0625,,,,0.7804080295138888,0.023473651545709327,0.21875,,,,,,
comp,"solo,solo,bail,loyal,loyal,loyal",2,1,3,0,0,0.625,221.2541666666567,1.7675118813145914,2.875,0.8125,0.9375,42.125,33.4375,4.75,140.9606597222152,3.6875,0.5888177083333272,0.027181789697462887,0.0,0.5702306944444444,0.07090930228616923,0.25,0.6633343749999997,0.029148220807834167,0.25,,,,,,
comp,"solo,solo,bail,bail,loyal,loyal",2,2,2,0,0,0.125,236.03541666665583,1.455604593151039,5.625,4.125,1.625,46.6875,30.1875,8.1875,49.290077711637764,3.875,0.616324652777771,0.024004514230420937,0.125,0.6997286448578991,0.022945367258979978,0.125,0.6788751529331577,0.04955807747644512,0.25,,,,,,
comp,"solo,solo,bail,bail,bail,loyal",2,3,1,0,0,0.0,239.99999999998894,1.3722743055555442,5.125,3.625,1.1875,56.9375,37.8125,6.0,54.110572089944434,2.4375,0.6331562499999929,0.024457037196581,0.21875,0.6055392475292818,0.016478537751300443,0.1875,0.03125,0.021347814095749162,0.0,,,,,,
comp,"solo,solo,bail,bail,bail,bail",2,4,0,0,0,0.0625,239.96874999998897,1.1601714083657924,8.9375,7.9375,2.875,42.0,11.3125,10.25,12.308704414797486,3.9375,0.6286111111111036,0.024960707419187534,0.0625,0.6843949416194932,0.01838009114948041,0.21875,,,,,,,,,
comp,"solo,solo,solo,loyal,loyal,loyal",3,0,3,0,0,0.4375,226.67708333332303,1.7663952929525604,2.0,0.0,0.9375,68.5625,59.6875,3.0,173.51180555554643,3.0,0.6243865740740685,0.022516932984292005,0.125,,,,0.7999368055555552,0.02519990696658789,0.20833333333333334,,,,,,
comp,"solo,solo,solo,bail,loyal,loyal",3,1,2,0,0,0.125,237.4145833333224,1.4192168261601141,2.5,1.125,1.0,38.75,25.3125,3.9375,91.30200562168864,2.9375,0.6427696759259195,0.018057764107466685,0.22916666666666666,0.6617515612599196,0.037062147084697496,0.0625,0.6720451678240739,0.036368953658849,0.125,,,,,,
comp,"solo,solo,solo,bail,bail,loyal",3,2,1,0,0,0.0,239.99999999998894,1.310677083333319,1.9375,1.1875,1.375,43.0625,26.5,2.375,153.54701388888157,1.3125,0.645366898148141,0.01823893863840038,0.25,0.552791262295468,0.016490325664251165,0.125,0.040065972222221635,0.022287155836872952,0.0,,,,,,
comp,"solo,solo,solo,bail,bail,bail",3,3,0,0,0,0.0,239.99999999998894,1.0906597222222199,5.1875,4.6875,3.1875,30.125,2.5625,5.8125,11.754762731480822,2.625,0.6377395833333267,0.017166473761747455,0.16666666666666666,0.6720873000348299,0.021819665672766345,0.16666666666666666,,,,,,,,,
comp,"solo,solo,solo,solo,loyal,loyal",4,0,2,0,0,0.75,224.85833333332315,1.2970296551522635,1.0,0.0,1.375,19.5625,8.0625,1.0,198.9833333333237,1.0,0.6124939236111056,0.020970210611795312,0.03125,,,,0.8759618923611111,0.015354835652402997,0.4375,,,,,,
comp,"solo,solo,solo,solo,bail,loyal",4,1,1,0,0,0.0,239.99999999998894,1.2904340277777628,1.5,0.8125,1.25,35.25,21.4375,1.5,188.79826388887983,1.125,0.6456935763888823,0.016026439455484147,0.234375,0.4452316858588319,0.04642844452232738,0.0625,0.024440972222221635,0.017421118862653122,0.0,,,,,,
comp,"solo,solo,solo,solo,bail,bail",4,2,0,0,0,0.0,239.99999999998894,1.0332291666666649,2.5625,2.4375,3.0,24.875,0.0,2.5625,8.725037037036543,1.0625,0.638868923611105,0.018865666295954327,0.09375,0.6902213889431424,0.021502586762991792,0.3125,,,,,,,,,
comp,"solo,solo,solo,solo,solo,loyal",5,0,1,0,0,0.0,239.99999999998894,1.0,0.0,0.0,2.625,17.6875,0.0,0.0,0.0,0.0,0.6516499999999933,0.013941995247506273,0.2,,,,0.5815555555555492,0.03626318867502775,0.0,,,,,,
