lineup,version,bail,bail_se,bail_win,early,kidnap,kidnap_se,kidnap_win,leaves,length,loyal,loyal_se,loyal_win,rammer,rammer_se,rammer_win,smart,smart_se,smart_win,solo,solo_se,solo_win,spills
smart+smart+smart+bail+bail+bail,v1,0.798,0.019,0.32,0.33,,,,21.4,226,,,,,,,0.437,0.036,0.01,,,,5.5
smart+smart+smart+loyal+loyal+loyal,v1,,,,0.58,,,,9.4,224,0.827,0.018,0.24,,,,0.637,0.029,0.1,,,,3.4
smart+smart+smart+solo+solo+solo,v1,,,,0.0,,,,2.8,240,,,,,,,0.627,0.028,0.15,0.652,0.016,0.18,7.8
smart+smart+smart+smart+smart+smart,v1,,,,0.17,,,,11.0,240,,,,,,,0.672,0.02,0.17,,,,14.2
smart+loyal+loyal+loyal+loyal+loyal,v1,,,,0.58,,,,3.8,222,0.72,0.022,0.17,,,,0.73,0.035,0.12,,,,0.3
smart+bail+bail+bail+bail+bail,v1,0.73,0.015,0.2,0.21,,,,20.6,236,,,,,,,0.269,0.044,0.0,,,,2.5
smart+smart+bail+bail+loyal+loyal,v1,0.673,0.023,0.33,0.25,,,,13.2,229,0.518,0.044,0.1,,,,0.562,0.031,0.06,,,,1.4
smart+smart+smart+rammer+rammer+rammer,v1,,,,0.0,,,,2.9,240,,,,0.375,0.012,0.0,0.467,0.017,0.33,,,,38.6
smart+smart+smart+kidnap+kidnap+kidnap,v1,,,,0.08,0.414,0.021,0.15,17.0,239,,,,,,,0.443,0.031,0.18,,,,3.1
smart+smart+smart+bail+bail+bail,v2,0.7,0.018,0.21,0.21,,,,17.1,237,,,,,,,0.589,0.025,0.12,,,,2.2
smart+smart+smart+loyal+loyal+loyal,v2,,,,0.58,,,,2.7,213,0.689,0.027,0.14,,,,0.677,0.03,0.19,,,,0.7
smart+smart+smart+solo+solo+solo,v2,,,,0.62,,,,2.5,209,,,,,,,0.736,0.031,0.31,0.563,0.029,0.03,1.9
smart+smart+smart+smart+smart+smart,v2,,,,0.58,,,,7.6,205,,,,,,,0.638,0.039,0.17,,,,3.8
smart+loyal+loyal+loyal+loyal+loyal,v2,,,,0.5,,,,1.4,218,0.718,0.026,0.19,,,,0.687,0.03,0.04,,,,0.0
smart+bail+bail+bail+bail+bail,v2,0.655,0.013,0.2,0.08,,,,16.7,239,,,,,,,0.477,0.032,0.0,,,,2.1
smart+smart+bail+bail+loyal+loyal,v2,0.648,0.03,0.25,0.12,,,,8.2,238,0.556,0.036,0.12,,,,0.637,0.031,0.12,,,,1.0
smart+smart+smart+rammer+rammer+rammer,v2,,,,0.25,,,,4.6,226,,,,0.313,0.015,0.0,0.732,0.023,0.33,,,,21.8
smart+smart+smart+kidnap+kidnap+kidnap,v2,,,,0.08,0.331,0.019,0.15,11.7,233,,,,,,,0.437,0.035,0.18,,,,3.2
smart+smart+smart+bail+bail+bail,v4,0.672,0.02,0.14,0.46,,,,8.3,225,,,,,,,0.689,0.032,0.19,,,,2.1
smart+smart+smart+loyal+loyal+loyal,v4,,,,0.5,,,,0.0,205,0.623,0.033,0.1,,,,0.693,0.036,0.24,,,,0.0
smart+smart+smart+solo+solo+solo,v4,,,,0.71,,,,0.1,205,,,,,,,0.772,0.039,0.28,0.556,0.026,0.06,0.7
smart+smart+smart+smart+smart+smart,v4,,,,0.79,,,,1.0,185,,,,,,,0.684,0.032,0.17,,,,0.2
smart+loyal+loyal+loyal+loyal+loyal,v4,,,,0.5,,,,0.0,219,0.718,0.019,0.17,,,,0.714,0.037,0.17,,,,0.0
smart+bail+bail+bail+bail+bail,v4,0.676,0.015,0.19,0.12,,,,13.2,240,,,,,,,0.535,0.038,0.04,,,,1.9
smart+smart+bail+bail+loyal+loyal,v4,0.538,0.033,0.1,0.46,,,,3.0,223,0.56,0.034,0.15,,,,0.729,0.033,0.25,,,,0.6
smart+smart+smart+rammer+rammer+rammer,v4,,,,0.88,,,,0.0,160,,,,0.159,0.017,0.0,0.828,0.023,0.33,,,,5.3
smart+smart+smart+kidnap+kidnap+kidnap,v4,,,,0.38,0.332,0.017,0.04,3.0,229,,,,,,,0.683,0.042,0.29,,,,2.1
